"","YEAR","HABITAT","REGION","SITE","CONTROL","TRANSECT","Agardhiella","Boring Sponge","Channeled Whelk","Crepidula","Eastern Mud Snail","Long-clawed Hermit","Porphyra","Quahog","Red Beard Sponge","Sea Lettuce","Shell","Ceramium sp.","Finger Sponge","Fucus sp.","Gracillaria","Barnacle sp.","Spaghetti Worm","Limpet","Bugula sp.","Chondrus truncatus","Crisularia turrita","Dasysiphonia japonica","Didemnum Sponge","Dulce","Ectocarpus","Irish Moss","Obelia sp.","Star Coral","Sugar Kelp","Unid. Hydroid sp.","Unid. Red Algae","Coralline Red Algae","Unid. Whelk","Mastocarpus","Oar Weed","Orange Sheath Tunicate","Epiphytic Coralline Aglae","Breadcrumb Sponge","Sugar Kelp Juv.","Tubular Weed","Chitton","Codium","Goat Tang","Sea Oak","Serpublorbis","Xmas Tree Byryzoan","Champia parvula","Purple Claw Weed","Sea Lace","CORS","Northern Sea Fern","Polysiphonia sp.","White Anemone","Forbes Star","PYSP","Grinnelia americana","Shrimp burrow","Tube Worm","Devil's Tongue","Blue Crab","Eelgrass","Bugula neritina","Sea Grape","Star Tunicate","Sargassum","Eastern Oyster","Mantis Shrimp","Red Turf Algae","Bay Scallop","Blue Mussel","Chondrus Bryzoan","Plumaria sp.","Fluke","Unid. Tunicate","Dasya elegans","Horseshoe Crab","Oyster Drill","Dog Whelk","Brown Algal Mat","Mantis Shrimp Burrow","Spermathoamnion sp.","Ahnfeltia","Stink Weed","Sea Vase","Sour Weed","Orange soft coral","Sea Potato","Club Tunicate"
"1","2019","Kelp","Narragansett Bay","Fort Wetherill","0","1",0,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135135135135135,0,0,0.337837837837838,0.364864864864865,0.0540540540540541,0.0135135135135135,0.0540540540540541,0.0135135135135135,0.0135135135135135,0.121621621621622,0.337837837837838,0.108108108108108,0.459459459459459,0.378378378378378,0.162162162162162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2019","Kelp","Narragansett Bay","Fort Wetherill","0","2",0,0.025,0,0.175,0,0,0,0,0,0.0125,0,0,0,0.025,0,0.0375,0,0,0,0.6625,0.075,0,0.0125,0.0125,0,0.0125,0,0.0875,0.225,0,0.2875,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2019","Kelp","Narragansett Bay","Fort Wetherill","0","3",0,0,0,0.075,0,0,0,0,0,0.025,0,0,0,0,0,0.0125,0,0,0,0.6625,0.0125,0,0.0125,0.0375,0,0.0375,0,0.0125,0.1625,0,0.1,0,0.0125,0.0125,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2019","Kelp","Narragansett Bay","Fort Wetherill","0","4",0,0.0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7375,0.1,0,0.0375,0.0375,0,0.0375,0,0.025,0.1,0,0.1875,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2019","Kelp","Narragansett Bay","Fort Wetherill","1","5",0,0.0375,0,0.35,0,0,0.025,0,0,0,0,0.0125,0,0.0125,0,0,0,0,0,0.3375,0.05,0.0125,0.0125,0,0.0125,0.0375,0,0.05,0.0375,0,0.25,0,0,0.0125,0,0,0,0.0125,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2019","Kelp","Narragansett Bay","Fort Wetherill","1","6",0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.15,0.025,0.0125,0.0375,0,0,0,0.2375,0,0,0.2625,0.025,0,0,0,0.0125,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2019","Kelp","Narragansett Bay","King's Beach","0","1",0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.6,0,0.0875,0,0.05,0,0,0,0,0.025,0,0,0.075,0,0,0,0,0,0.0125,0,0,0.0125,0.025,0.225,0.025,0.1875,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2019","Kelp","Narragansett Bay","King's Beach","0","2",0,0.0375,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0,0.125,0.1375,0,0.325,0.05,0,0,0.4125,0,0,0.0875,0,0,0.05,0,0,0,0,0,0,0,0,0,0.1875,0.1,0.025,0,0.0125,0.025,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2019","Kelp","Narragansett Bay","King's Beach","0","3",0,0.075,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0.1375,0.2125,0,0.05,0.0125,0,0,0.3625,0,0,0.225,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1375,0.025,0,0,0.0375,0.0125,0.075,0.0375,0.0125,0.0125,0.025,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2019","Kelp","Narragansett Bay","King's Beach","0","4",0,0.05,0,0,0,0,0.225,0,0,0.0375,0,0,0,0,0,0,0,0,0.0625,0.2125,0,0.0875,0.0125,0,0,0.225,0,0.05,0.175,0,0,0.0875,0,0,0,0,0,0,0.0125,0,0,0.1,0.0875,0.0125,0,0.025,0.0375,0,0,0,0,0.05,0,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2020","Kelp","Narragansett Bay","Fort Wetherill","0","1",0,0.0625,0,0,0,0,0.0125,0,0,0.0125,0,0.2,0,0,0,0.0125,0,0,0.125,0.6,0,0.1,0.0125,0.15,0,0.05,0.0125,0.1,0.2,0,0,0.0125,0,0,0.0125,0,0,0,0,0.0125,0,0,0,0,0,0.0125,0.0125,0.2125,0,0,0,0.05,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2020","Kelp","Narragansett Bay","Fort Wetherill","0","2",0,0.0125,0,0,0,0,0.0125,0,0,0.0125,0,0.35,0,0,0,0,0,0,0.075,0.5875,0,0.1,0.0125,0.1125,0,0.025,0.0125,0.2,0.275,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0,0.075,0.0125,0,0,0.0125,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2020","Kelp","Narragansett Bay","Fort Wetherill","0","3",0,0.0375,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.075,0.325,0,0.1,0.025,0.025,0,0.025,0,0,0.4125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0.0125,0,0.0625,0.0125,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2020","Kelp","Narragansett Bay","Fort Wetherill","0","4",0,0.075,0,0,0,0,0,0,0,0.0125,0,0.0625,0,0,0,0.0125,0,0,0.0375,0.2375,0,0.0125,0.1375,0.0625,0,0,0.0625,0.1375,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.025,0,0,0,0.025,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2020","Kelp","Narragansett Bay","Fort Wetherill","1","5",0,0.0375,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.0125,0,0,0.0625,0.25,0,0.05,0.025,0.025,0,0,0,0.025,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0.075,0,0.0375,0,0,0,0,0,0.0125,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2020","Kelp","Narragansett Bay","Fort Wetherill","1","6",0,0.0375,0,0,0,0,0,0,0,0,0,0.5125,0,0,0,0,0,0,0.05,0.1,0,0.05,0,0,0,0.05,0,0.0375,0.0875,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.025,0,0,0,0.0125,0,0,0,0.225,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.025,0.0375,0.0125,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2020","Kelp","Narragansett Bay","King's Beach","0","2",0,0.025,0,0,0,0,0,0,0,0.0375,0,0.35,0,0,0,0.0125,0,0,0.0125,0.0625,0,0.0875,0.0125,0.1,0,0.2625,0,0,0.275,0,0,0.075,0,0,0.0125,0,0,0,0,0,0,0,0.0375,0,0,0.05,0,0,0,0,0,0.0375,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2020","Kelp","Narragansett Bay","King's Beach","0","3",0,0.075,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0.1125,0.275,0,0.0875,0,0,0,0.3375,0,0.1625,0.2375,0,0,0.275,0,0.025,0,0,0,0,0,0,0,0.1,0.025,0,0,0.0625,0.0125,0,0,0,0,0.2375,0,0.0125,0,0.0875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
